slang,formal
beneran,benaran
"mudah""n",mudah-mudahan
gada,enggak ada
milikin,memiliki
kamo,kamu
inih,ini
sukaaaa,suka
sukaaaaaa,suka
kirain,mengira
mehoonggggg,mahal
apikkkk,apik
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
yoiii,yoi
gituuu,begitu
iyaaa,iya
pgn,ingin
liptsk,lipstik
nyeplak,menjiplak
cw,cewek
kmarin,kemarin
mengncang,mengencang
tauu,tau
ksh,kasih
skrng,sekarang
mksh,terima kasih
ank,anak
skitar,sekitar
ktmu,ketemu
tmen,teman
ats,atas
donk,dong
heii,hai
diputusin,diputuskan
pcrnya,pacarnya
mnjual,menjual
ngadain,mengadakan
kkak,kakak
rekomendasiin,merekomendasikan
sihhh,sih
cooocok,cocok
mrip,mirip
mama.nyy,mamanya
bosenin,membosankan
kmu,kamu
bukn,bukan
sey,sih
cantikkk,cantik
banger,banget
kaa,kak
eakyu,waktu
cntik,cantik
kakanya,kakaknya
doeloe,dulu
cantikkkk,cantik
bngtt,banget
iyak,iya
malh,malah
mlah,malah
ngak,enggak
gag,enggak
fhotonya,fotonya
bleh,boleh
brp,berapa
tnggl,tanggal
tanteny,tantenya
ky,kaya
sklinyaa,sekalinya
ayoo,ayo
w,gue
dramaa,drama
niiih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkkk,yuk
nnti,nanti
editannn,editan
mw,mau
thu,tuh
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
nama.a,namanya
kmauan,kemauan
ahhhh,ah
yuuuuk,yuk
dmana,dimana
disiniii,disini
cobaa,coba
bayangin,bayangkan
yaudh,ya sudah
dl,dulu
ajaaa,saja
tuhhh,tuh
amploppp,amplop
mo,mau
sayangg'',sayang-sayang
nantii,nanti
aminnnnn,amin
gakuat,enggak kuat
yukkkk,yuk
nged,banget
nantik,nanti
ksitu,kesitu
bangeett,banget
liad,lihat
kluarga,keluarga
biasahhh,biasa
tutorialx,tutorialnya
dpke,dipakai
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomendasi
bwt,buat
wado,waduh
guaa,gua
yaakkk,ya
bangetttttyt,banget
bangettttt,banget
bangg,bang
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
smpt,sempat
blg,bilang
trserah,terserah
ad,ada
cwo,cowok
prnah,pernah
wlwpun,walaupun
trpsah,terpisah
klw,kalau
mmg,memang
prsatukn,persatukan
g,enggak
slh,salah
ngomng,mengomong
sm,sama
skedar,sekadar
kangeeerrn,kangen
pulak,pula
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalau
muke,muka
ajh,saja
taiiii,tahi
seneeeeeng,senang
nyesel,menyesal
besarin,membesarkan
tanyang,tayang
jngan,jangan
ngelarang,melarang
kerreeen,keren
pantess,pantas
bngettt,banget
baperr,bawa perasaan
sudh,sudah
sbr,sabar
pngen,ingin
nntn,menonton
ht,hati
pemainy,pemainnya
jg,juga
aqu,aku
ngeliat,melihat
baper,bawa perasaan
akn,akan
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
amiiinnnn,amin
mlm,malam
nikahin,menikahi
hadeuh,aduh
nyambung,menyambung
liyat,lihat
krn,karena
sk,suka
adengan,adegan
engga,enggak
bingit,banget
dapetin,mendapati
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,mah
cocokny,cocoknya
iniw,ini
q,ku
setju,setuju
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
br,baru
mksdny,maksudnya
brpa,berapa
ihh,ih
kesampean,kesampaian
beginiiii,begini
ntr,entar
beliin,membelikan
kya,kaya
keq,kek
ngerasa,merasa
sygkuu,sayangku
ngeselin,mengesalkan
baju'a,bajunya
gara'',gara-gara
teruss,terus
pokok'a,pokoknya
bg,bang
kuyy,yuk
bentarr,bentar
dureen,duren
ajibb,ajib
mahall,mahal
yukk,yuk
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
rasain,rasai
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
yuuk,yuk
ngelihatnya,melihatnya
bdn,badan
na,nya
lau,kau
cantikk,cantik
sexxi,seksi
bulet,bulat
ituu,itu
ngocok,mengocok
nyoba,mencoba
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
"coret""",coret-coret
lahh,lah
gambarin,gambarkan
ngerii,ngeri
digambarin,digambarkan
klen,kalian
bangke,bangkai
kog,kok
liatnya,lihatnya
bedanyaaa,bedanya
negri,negeri
mbk,mbak
pgin,ingin
krudungan,kerudungan
ajaa,saja
maksutku,maksudku
kerennnnn,keren
njirr,anjir
jd'y,jadinya
manisnyaaaa,manisnya
thun,tahun
mbg,mbak
bangeet,banget
ngaco,mengaco
ngomen,mengomentari
kaaakk,kak
gituh,begitu
tenggah,tengah
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menontonnya
dpn,depan
pi,tapi
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
kepingin,ingin
nontonnnn,menonton
deeek,dek
ntappp,mantap
cyiiin,cinta
iyha,iya
kureeeen,keren
muantaap,mantap
pake,pakai
ngantri,mengantri
bli,beli
nraktir,mentraktir
nonton,menonton
sbnyak,sebanyak
penasaraaann,penasaran
ayoooo,ayo
nii,ini
nontonya,menontonnya
kl,kalau
nunggu,menunggu
dpt,dapat
qta,kita
peen,ingin
lw,lu
gga,enggak
yaah,ya
asikkk,asik
gilak,gila
mcm,macam
ceritax,ceritanya
yoooiii,yoi
kuy,yuk
udahh,sudah
tauuuuu,tau
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
thn,tahun
pengan,ingin
sendeng,senang
simpen,simpan
gakk,enggak
bagiin,bagikan
nanggepin,menanggapi
kapn,kapan
kirimin,mengirimi
senengin,senangi
ngasih,mengasih
ampunnnn,ampun
bln,bulan
senengg,senang
teruzzz,terus
mantabb,mantab
sumpahh,sumpah
diluarann,diluaran
trbaik,terbaik
dlam,dalam
anjirrrr,anjir
jendess,janda
dh,deh
sichh,sih
namnya,namanya
geh,gih
nggak,enggak
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
uga,juga
njiirr,anjir
bgs,bagus
kesinii,kesini
gemay,gemas
dstu,disitu
wiiiihhhh,wih
samoga,semoga
kereennn,keren
wahh,wah
nyangkaa,menyangka
hasilnyaaa,hasilnya
dahhhh,dah
jugaakk,juga
prnh,pernah
yaak,ya
lhoo,loh
donx,dong
gthu,begitu
nda,indak
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
bnyak,banyak
berntung,beruntung
merka,mereka
romntis,romantis
slamat,selamat
ulan,ulang
th,tahun
mngkin,mungkin
klau,kalau
diksi,dikasih
sipp,sip
taun,tahun
jugak,juga
nungguin,menunggu
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
"tante""",tante-tante
banged,banget
abeees,habis
adain,mengadakan
bsa,bisa
sempurnaaaaa,sempurna
kaan,kan
badaaiii,badai
beneraan,benaran
cantiiik,cantik
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
bgd,banget
mb,mbak
catiiiiik,cantik
subahanallah,subhanallah
padet,padat
buktiin,buktikan
cantiq,cantik
"pasien""nya",pasien-pasiennya
lohh,loh
utk,untuk
woow,wow
hadirrr,hadir
hadirr,hadir
jelashh,jelas
mbaaa,mbak
temen,teman
hidupppp,hidup
nyebelin,menyebalkan
diliatnya,dilihatnya
gpp,enggak apa-apa
bangeeet,banget
allahhhhhhh,allah
gemesnya,gemasnya
kmi,kami
ngilangin,menghilangkan
tbuh,tubuh
itungan,hitungan
ledekin,ledeki
ckup,cukup
dptkan,dapatkan
kalii,kali
ninggiin,meninggikan
baget,banget
dri,dari
lgsg,langsung
ngk,enggak
ahh,ah
balesin,membalas
gausah,enggak usah
sukaaa,suka
lutuna,lucunya
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
alamii,alami
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
jagain,jaga
yahbh,ya
msih,masih
sktika,seketika
lutu,lucu
wowwww,wow
massss,mas
kesiniii,kesini
"keren""",keren-keren
"jalan""nya",jalan-jalannya
masyaallahhh,masyaallah
kerennn,keren
ksni,kesini
begok,bego
bkan,bukan
jgk,juga
bawak,bawa
it,itu
nti,nanti
pgi,pagi
keeeeeren,keren
baguusss,bagus
mna,mana
nahannnn,tahan
bagaatt,banget
gayannxa,gayanya
kereeeen,keren
uda,sudah
ngekeh,kekeh
xlian,kalian
ihhh,ih
lcu,lucu
pait,pahit
koplakkk,koplak
kerass,keras
yachhh,ya
gokil,gila
ngelihat,melihat
ngelawak,melawak
iiihhhhh,ih
nyolotinnnn,menyolot
beratttttttt,berat
cantiikkkk,cantik
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
pakek,pakai
kanapa,kenapa
cans,cantik
banhet,banget
bgttttttt,banget
blng,bilang
mngasi,mengasih
kmbang,kembang
pg,pagi
nie,ini
pla,pula
kw,kau
blakon,berlakon
sy,saya
nmpk,nampak
bngtzt,banget
lucukkkkk,lucu
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
maak,mak
ngakaaaakkk,mengakak
gokill,gila
kocakkkkkk,kocak
ngekek,mengekek
capee,cape
pegangin,memegang
nyender,menyandar
bener,benar
manjain,memanjakan
peleotin,meleot
bng,bang
termurahhhh,termurah
nyatakan,menyatakan
graaatiiiis,gratis
meriahh,meriah
cantikkkm,cantik
parahh,parah
bingits,banget
yuppss,ya
nyindir,menyindir
onoh,sono
bnyk,banyak
anakny,anaknya
begete,banget
aduhh,aduh
manteppp,mantap
ynk,sayang
"nangis""",menangis-nangis
"hati""",hati-hati
"jangan""",jangan-jangan
emank,memang
cr,cara
diemin,diamkan
hancurin,menghancurkan
ckp,cukup
mgkn,mungkin
ato,atau
diapain,diapakan
ms,masih
haragain,menghargai
cb,coba
nyakitin,menyakiti
sbaiknya,sebaiknya
mngerti,mengerti
blajar,belajar
spt,seperti
mnding,mending
nyinyirin,nyinyir
pdhl,padahal
pd,pada
nyerang,menyerang
hrs,harus
mrk,mereka
trima,terima
ngomomg,mengomong
mang,memang
kbetulan,kebetulan
orgtuanya,orang tuanya
sbelum,sebelum
ngamatin,mengamati
ngintip,mengintip
stelah,setelah
sndiri,sendiri
ngintilin,mengintil
smnjak,semenjak
trbukti,terbukti
nyambet,menyambat
msk,masuk
krmh,ke rumah
rmh,rumah
bo'ong,bohong
eloo,lo
goblokkk,goblok
sesatt,sesat
ibliss,iblis
elo,lo
kbiasaan,kebiasaan
hdpnya,hidupnya
lbh,lebih
byk,banyak
anknya,anaknya
tdr,tidur
sbuah,sebuah
tdnya,tadinya
milih,memilih
branjak,beranjak
masyarakay,masyarakat
menegerti,mengerti
nasehatin,menasihati
ngaca,mengaca
ajah,saja
kakkkk,kak
slamet,selamat
ampe,sampai
nari,menari
ehh,eh
mf,maaf
ngcpin,mengucapkan
woowwww,wow
iaa,ya
kdg,kadang
kebagi,terbagi
nerusin,meneruskan
indo,indonesia
univ,universitas
maen,main
wihh,wih
tetapppp,tetap
gantenggg,ganteng
jakety,jaketnya
nggk,enggak
skli,sekali
kli,kali
ttp,tetap
pala,kepala
pusingggg,pusing
pucing,pusing
ihhhh,ih
maho,manusia homo
gantng,ganteng
alak,kepala
hilangv,hilang
bungggg,bung
gapap,enggak apa-apa
kyak,kayak
pling,paling
gokiiill,gila
busedh,buset
gokilnya,gilanya
duluuu,dulu
keceee,kece
nyaa,nya
klu,kalau
gilaa,gila
duuhhh,duh
amiiiiinnnnn,amin
dg,dengan
tullus,tulus
tw,tau
pluk,peluk
kpada,kepada
"seburuk""",seburuk-buruk
ortu,orang tua
ktaa,kita
yup,ya
tdk,tidak
tetaplaah,tetaplah
ajja,saja
dech,deh
oprasi,operasi
gya,gaya
kndung,kandung
sbg,sebagai
u,untuk
ksenangan,kesenangan
ddpt,didapat
jwab,jawab
mmbodohkan,membodohkan
orlaen,orang lain
bgtu,begitu
drpd,daripada
malem,malam
aplikasiin,mengaplikasikan
berangat,berangkat
praktekin,mempraktikkan
dahh,dah
gmn,bagaimana
omdo,omong doang
kate,kata
prjuangan,perjuangan
kmewahan,kemewahan
stimpal,setimpal
ddpat,didapat
sprt,seperti
bc,baca
mnilai,menilai
usahh,usah
sekarng,sekarang
sprti,seperti
mkanya,makanya
hay,hai
mreka,mereka
bhagia,bahagia
ngebales,membalas
krna,karena
sihh,sih
sasama,sesama
dehh,deh
seklian,sekalian
kluar,keluar
tuuu,itu
ngurusan,mengurusi
campurin,mencampuri
emnknya,memangnya
py,punya
unyuu,unyu
mrangkul,merangkul
adlh,adalah
wlo,walau
lh,lah
manusiy,manusia
tx,tak
samara,sakinah mawadah rahman
teringt,teringat
trmsuk,termasuk
dn,dan
pilihnmu,pilihanmu
swmntara,sementara
trmasuk,termasuk
sgt,sangat
liht,lihat
suaminy,suaminya
jadulnya,jaman dulunya
mantaff,mantap
bagaimna,bagaimana
mulusssss,mulus
bgus,bagus
gmana,bagaimana
kpleset,kepleset
yawlah,ya allah
kepeleset,kepleset
kayanye,kayanya
amiinnnn,amin
wewww,wow
dumsss,dong
tar,entar
perbaikin,memperbaiki
permasalhkan,permasalahkan
jauhin,jauhi
dateng,datang
adiik,adik
manisss,manis
"besar""",besar-besar
"masing""",masing-masing
ddlm,di dalam
kmbali,kembali
dkuburnya,dikuburnya
fi,di
ttg,tentang
lbih,lebih
critamu,ceritamu
ja,saja
bres,beres
cmkn,camkan
diurusin,diurusi
biarin,biarkan
kale,kali
donks,dong
"membanding""",membanding-banding
mengperbolehkan,memperbolehkan
krena,karena
ngri,negeri
"dingin""",dingin-dingin
lma,lama
dibangga'in,dibangga-banggakan
ngebolehin,membolehkan
denger,dengar
"jelek""in",menjelek-jelekkan
stiap,setiap
gausa,enggak usah
maksain,memaksakan
smog,semoga
mnerima,menerima
baikxa,baiknya
aaamin,amin
amienn,amien
kt,kita
amiiiiiiiiiinnnnnnn,amin
nolongin,menolong
amiiiiiiiiiiin,amin
seluru,seluruh
amiennn,amien
tebir,ribet
doangam,doang
"tebir""",ribet-ribet
amad,amat
mkst,maksud
rempong,repot
ngurusin,mengurusi
kerjaan,pekerjaan
bingittzz,banget
bangets,banget
ikh,ih
dwh,deh
nengok,menengok
bante,bantai
la,lah
komenannya,komentarnya
hadapin,menghadapi
dengarin,mendengarkan
ush,usah
cock,cocok
widihh,waduh
mantepp,mantap
temen-temen,teman-teman
stu,satu
syratnya,syaratnya
pnjang,panjang
shat,sehat
inginkn,inginkan
belanjaa,belanja
burem,buram
tlp,telepon
dngan,dengan
ngerasain,merasai
kancang,kencang
tmbh,tambah
mansyoallah,masyaallah
skali,sekali
canttttikkk,cantik
subhanalloh,subhanallah
lkuin,lakukan
langgenh,langgeng
salluutt,salut
pkai,pakai
mkn,makin
seneng,senang
pdng,padang
warbiyasah,luar biasa
pk,pakai
keedaannya,keadaannya
sekrng,sekarang
ttap,tetap
spertinya,sepertinya
mrah,marah
sngaja,sengaja
jlek,jelek
gatau,enggak tau
matany,matanya
dteng,datang
mata'y,matanya
buruannn,buruan
emng,memang
perubut,perebut
sumai,suami
tk,tak
urusin,mengurusi
apah,apa
say,sayang
mmbela,membela
mslhnya,masalahnya
hnya,hanya
sndri,sendiri
sj,saja
llki,lelaki
dluar,diluar
sna,sana
dya,dia
maluuuu,malu
nyaranin,menyarankan
x,kali
tongolin,menongol
cabol,cabul
ape,apa
nyet,monyet
muna,munafik
jing,anjing
tot,entot
nihh,nih
hidiyah,hidayah
percya,percaya
bgi,bagi
tlg,tolong
sya,saya
sdri,sendiri
tdi,tadi
mgkin,mungkin
bhwa,bahwa
skaligus,sekaligus
spti,seperti
smakin,semakin
sbgai,sebagai
mgk,mungkin
bgmn,bagaimana
kyknya,kayaknya
pnya,punya
dng,dengan
termurahhh,termurah
bbrp,beberapa
bhw,bahwa
banyaaaaaak,banyak
tunjukan,tunjukkan
berfikir,berpikir
mba,mbak
elu,lu
ngajuin,mengajukan
jkt,jakarta
terbaeq,terbaik
namany,namanya
jels,jelas
diakibtkn,diakibatkan
suk,suka
dsrny,dasarnya
jkrta,jakarta
mantaap,mantap
lanjutkaaaaan,lanjutkan
hiduppp,hidup
ncek,encek
majuuu,maju
teruuss,terus
looohh,loh
sebelumbya,sebelumnya
tunjukin,tunjukkan
"tahun""",tahun-tahun
koment,komentar
nyampein,menyampaikan
hokiii,hoki
naksir,menaksir
"bangt""",banget-banget
nafkahin,menafkahi
ngitem,menghitam
banyaaaak,banyak
"sama""",sama-sama
gx,enggak
lhat,lihat
cantika,cantik
cwek,cewek
kngen,kangen
fillm,film
sinet,sinetron
jendral,jenderal
nanya,tanya
maenya,mainnya
cantiks,cantik
wktu,waktu
pilm,film
taon,tahun
nd,indak
slah,salah
cini,sini
jaaangan,jangan
nambah,bertambah
naek,naik
terimaksih,terima kasih
inii,ini
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
da,sudah
sby,surabaya
tgl,tanggal
pinginnn,ingin
buanget,banget
ketemuuu,ketemu
kebawa,terbawa
mimpiii,mimpi
wanjerrr,anjir
satupunn,satupun
motret,memotret
lapakk,lapak
nyeniii,menyeni
bget,banget
seeh,sih
abis,habis
deuhh,duh
dihargain,dihargai
"engga""",enggak-enggak
lebayy,lebay
gilsss,gila
nganbek,mengambek
sukaa,suka
enk,enak
mendam,memendam
manta,mantan
relaaaa,rela
bgun,bangun
tdur,tidur
cntk,cantik
knl,kenal
anugrah,anugerah
slm,salam
kliatan,kelihatan
awoohhh,allah
cantiikk,cantik
gt,begitu
sbbyak,sebanyak
apun,apapun
nyangkutnya,menyangkutnya
untk,untuk
ampunnnnn,ampun
hy,hai
wadaaw,waduh
paraah,parah
sampw,sampai
dijelekin,dijelekkan
napa,kenapa
azeeeek,asik
ntikk,cantik
uhh,uh
mayan,lumayan
mnisss,manis
tambahim,tambahkan
tambahin,tambahkan
"bener""",benar-benar
make,memakai
canttikkk,cantik
baanggeettt,banget
ap,apa
siiihh,sih
krpoooo,kepo
pengn,ingin
nyusul,menyusul
nyok,yuk
dekkk,dek
ngiri,mengiri
mmang,memang
nentuin,menentukan
mnjmput,menjemput
ygs,sayang
mblooo,jomblo
ber'expresi,berekspresi
jdulnya,judulnya
ciumman,ciuman
aurot,aurat
laginy,laginya
nyaaaaaaaaaaaaa,nya
alkhamdulilah,alhamdulillah
ktnya,katanya
selaluu,selalu
anjirrr,anjir
ngeh,engah
amen,amin
qm,kamu
nahhh,nah
ngmngnya,mengomongnya
fotony,fotonya
halllo,halo
ngiritya,mengiritnya
hematt,hemat
ciyeeee,cie
yeeee,ya
nget,banget
kususnya,khususnya
krm,kirim
sam,sama
ajaaahhhhh,saja
syediiihhh,sedih
malangg,malang
belooomm,belum
yaakk,ya
kebukti,terbukti
tuwanya,tuanya
pedesssss,pedas
skg,sekarang
plg,pulang
smbil,sambil
hellooooooo,halo
ngrebut,merebut
mnjdi,menjadi
taek,tahi
lupain,melupakan
bangkret,bangkrut
taekk,tahi
lahhhhhh,lah
kedokk,kedok
"mati""an",mati-matian
nyimak,menyimak
komenx,komennya
"ngumpet""",mengumpet-ngumpet
blim,belum
sekrang,sekarang
ngerebut,merebut
mnjijikaaaaaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,enggak menyangka
sendirir,sendiri
brengsekk,brengsek
