text,product,quantity,price,total_price
Sih beli 1 truffle sirloin pesto parmesan harga 43k,truffle sirloin pesto parmesan,1,43500,43500
pesan passion mojito satu 26000,passion mojito,1,26000,26000
BISA GAK ORDER 10 PORSI UDANG SALAD BUAH S HRGA RP. 33000,udang salad buah s,10,33000,330000
FYI NITIP BOBOR YA SEPORSI AJA HRG HARGA 32K,bobor,1,32500,32500
NIH KAK ADA IKAN SEMBILANG BAKARGORENG? MAU 4 RP 38000,ikan sembilang bakargoreng,4,38000,152000
tolong peesnin 10 porsi hazelnut chocolate iced dong rp 22000,hazelnut chocolate iced,10,22000,220000
5 SAMBELAN AMPLA ATI AJA KAK HARGA HARGA 6K,sambelan ampla ati,5,6500,32500
bisa gak order 3 porsi japanese sakura sencha harga harganya 12000,japanese sakura sencha,3,12000,36000
"pesen 3 udang gala panggang keju m kak, total rp31500",udang gala panggang keju m,3,10500,31500
btw pesan kori konyaku lhycee lima 47k,kori konyaku lhycee,5,47500,237500
Psean puding cup pandan 3 2k,puding cup pandan,3,2000,6000
kak minta 1 avokado cofe ya harga rp. 46000,avokado cofe,1,46000,46000
1 BIJI COMBO DUO CHICKEN BERAPA KAK?,combo duo chicken,1,25000,25000
nitip nasi ayam crispy teriyaki ya lima porsi aja harga rp. 41500,nasi ayam crispy teriyaki,5,41500,207500
nitip mie raja ulang tahun m ya 4 porsi aja harga rp 49000,mie raja ulang tahun m,4,49000,196000
FYI 3 PORSI SANGER KURMA HRD BERAPA KAK?,sanger kurma hrd,3,16500,49500
Loh mau pesen tiga porcy kopi susu gula aren dingin donk,kopi susu gula aren dingin,3,45000,135000
PESEN MARTABAK KEJU COKLAT WIJEN SUSU SEBANYAK 4 PORXI HARGA RP34500,martabak keju coklat wijen susu,4,34500,138000
"pesen tiga porsi good day kak, total 18k",good day,3,6000,18000
ORDER PILLOW ROLL TIGA PORSI PCS HRG 46500 RB,pillow roll,3,46500,139500
4 porsi local mix berapa kak?,local mix,4,2000,8000
Halo kak mau beli empat saus bbq harganya rp 45000,saus bbq,4,45000,180000
"btw mau 5 porsi krupuk telur asin, rp 7500 kan?",krupuk telur asin,5,7500,37500
TOLONG PESANIN 5 SEMPOLAN AYAM DONG 31 RIBU,sempolan ayam,5,31000,155000
kak minta 4 choco chip s ya harga harga 13k,choco chip s,4,13000,52000
Order 4 porsi cranberry pebbles total 142k,cranberry pebbles,4,35500,142000
Sih pesan tori karaage 4 harganya 49500,tori karaage,4,49500,198000
pesan klepon 4 47500 rb,klepon,4,47500,190000
beli dua porsi dimsum keju rp. 46000,dimsum keju,2,46000,92000
HALO KAK MAU BLY 4 PORSI PORK RIBS FULL RACK HARGANYA 46500,pork ribs full rack,4,46500,186000
"Mau 10 porsi thai tea coffee, rp 36500 kan?",thai tea coffee,10,36500,365000
MAU PESEN 10 PENNE AL SALMONE DONG,penne al salmone,10,31500,315000
Kak minta sepuluh cap katespepaya ya harga harganya 10500,cap katespepaya,10,10500,105000
nih beli empat milkshake lecy 50 ribu,milkshake lecy,4,50000,200000
10 brownis kukus berapa kak?,brownis kukus,10,50000,500000
order dua porsi indomie nyemek daging total rp 89000,indomie nyemek daging,2,44500,89000
pesan churros topping ice cream sebanyak 2 porsi harga 8500,churros topping ice cream,2,8500,17000
"jambu berry 1 aja ya kak, harga rp21000",jambu berry,1,21000,21000
MAU DONGG SATU DONG MINI ALMOND BANANA HARGA HARGANYA 28500,mini almond banana,1,28500,28500
halo kak mau beli 2 biji risol kari harganya 43500 rb,risol kari,2,43500,87000
nih pesan jengkol cabe hijau sebanyak 1 biji harga rp 30500,jengkol cabe hijau,1,30500,30500
Belli hot mint choco latte dulu 3 porxi 23500 rb,hot mint choco latte,3,23500,70500
mau pesen sepuluh istimewa nutella  keju dng,istimewa nutella  keju,10,43000,430000
hehe beli nasi ikan mas goreng dulu 4 porsi 35k,nasi ikan mas goreng,4,35500,142000
sih 3 gado  gado wong soeroboyo berapa kak?,gado  gado wong soeroboyo,3,49500,148500
"MAU 5 PORSI TAWAR WIJEN POPULER, RP 8000 KAN?",tawar wijen populer,5,8000,40000
order collagen tropical blast 3 pcs harga harga 5k,collagen tropical blast,3,5000,15000
kak 5 porsi ayam geprek mozarella nasi hrganya 32000 ya,ayam geprek mozarella nasi,5,32000,160000
order brown sugar coffee ukuran m empat pcs harga 6500,brown sugar coffee ukuran m,4,6500,26000
tolong pesanin seporsi juice marquisa dong rp 28500,juice marquisa,1,28500,28500
belli 5 bolu gulung tiramisu rp 15000,bolu gulung tiramisu,5,15000,75000
kak minta 4 porsi pina colada ya hrg harganya 40000,pina colada,4,40000,160000
"MAU TIGA IKAN LELE BAKARGORENG EKOR, RP29000 KAN?",ikan lele bakargoreng ekor,3,29000,87000
HEHE ORDER 1 CUMICUMI SEGAR TOTAL 12500 RB,cumicumi segar,1,12500,12500
MAU DNGG LIMA PORSI KIBO MINI DOUBLE CHOCO BERRY HARGA RP30000,kibo mini double choco berry,5,30000,150000
Loh halo kak mau beli sepuluh baby kebab tiramisu harganya 38500,baby kebab tiramisu,10,38500,385000
KAK 1 PORSI SOTO MADURA MASAKAN 24 RIBU YA,soto madura masakan,1,24000,24000
BELI SEPULUH KWETIAO GORENG XIWANG 37000,kwetiao goreng xiwang,10,37000,370000
Mau dongg 5 penfolds koonunga hill c sauvignon hrg harga 44k,penfolds koonunga hill c sauvignon,5,44000,220000
order 2 porsi black stick mozarella total 74000 rb,black stick mozarella,2,37000,74000
beli ini teh manis dulu 10 hrga 21k,ini teh manis,10,21500,215000
WKWK MAU DONGG 4 PORSI DONETO ANEKA TOPPING HARGA HARGA 20K,doneto aneka topping,4,20500,82000
Kak 10 sunkist wortel mix 6000 rb ya,sunkist wortel mix,10,6000,60000
Order 3 porsi almond choco cheese total rp. 118500,almond choco cheese,3,39500,118500
pesan tolak angln sebanyak empat harga rp 22500,tolak angln,4,22500,90000
kak minta sepuluh sec ya hrg rp. 26500,sec,10,26500,265000
MAU DONKG SEPORSI ROTI BAKAR STRAWBERRY HARGA 31000,roti bakar strawberry,1,31000,31000
KAK MINTA TIGA PORXI CAJUN RICE M YA HARGA HARGANYA 22000,cajun rice m,3,22000,66000
nitip chasiu pork ya 4 aja harga rp42500,chasiu pork,4,42500,170000
"mau 3 porsi boba anggur, 25 ribu kan?",boba anggur,3,25500,76500
PSEAN CAFFEE LATTE ICED SEBANYAK LIMA PORSI HARGA RP 41500,caffee latte iced,5,41500,207500
Pesan saus gonjreng sebanyak tiga harga harganya 6500,saus gonjreng,3,6500,19500
loh tolong pesanin dua porsi lontong dong rp32500,lontong,2,32500,65000
"Mau 10 porsi yaki matah, harganya 5000 kan?",yaki matah,10,5000,50000
NIH ORDER 10 CRISPY CHICKIN TOTAL 420000 RB,crispy chickin,10,42000,420000
3 porxi chamomile  iced berapa kak?,chamomile  iced,3,49500,148500
kak tiga stawberry juice harganya 18000 ya,stawberry juice,3,18000,54000
"ICED LECI TEA 10 PORCY YA KAK, HARGA 45 RIBU",iced leci tea,10,45000,450000
mau pesen sepuluh nutella medium dong,nutella medium,10,8500,85000
Mau dongg 10 ice milosaurus hrga harganya 42500,ice milosaurus,10,42500,425000
"Chicken cutlet cury 2 biji ya kak, harga 10 ribu",chicken cutlet cury,2,10500,21000
psean donut sosis 4 porsi harganya 8000,donut sosis,4,8000,32000
5 PORSI NASI GORENG WHITE SPESIAL BERAPA KAK?,nasi goreng white spesial,5,5500,27500
YGY KAK 10 CHEESE CROFFLE 43000 YA,cheese croffle,10,43000,430000
"btw mau satu dong heavenly sides, rp 37000 kan?",heavenly sides,1,37000,37000
mau pesen 2 biji daging sapi bawang bombay m donk,daging sapi bawang bombay m,2,18000,36000
MAU DONGG SATU MIE AYAM BAKSO KECIL HARGA 18500,mie ayam bakso kecil,1,18500,18500
Kak ada susu susanti lychee? mau 5 hrg 30k,susu susanti lychee,5,30500,152500
ygy halo kak mau beli 1 porsi bandrek susu harganya 27 ribu,bandrek susu,1,27500,27500
Order sepuluh toumiao bawang putih total 260000 rb,toumiao bawang putih,10,26000,260000
Order 10 porsi chunky berry mambo large total 370 ribu,chunky berry mambo large,10,37000,370000
fyi order cheskoffee aren latte tiga porsi pcs harga 22000 rb,cheskoffee aren latte,3,22000,66000
kak minta 10 porsi chicken chese ttoekbokki ya harga rp. 25500,chicken chese ttoekbokki,10,25500,255000
kak ada nasi ayam crispy criuk? mau sepuluh 48000,nasi ayam crispy criuk,10,48000,480000
"Pesen dua suka ikan kerapu sedang kak, total rp 88000",suka ikan kerapu sedang,2,44000,88000
MAU PESEN TIGA CILOK GAJEH DONG,cilok gajeh,3,29000,87000
"balinese sambal matah with rice 2 porsi ya kak, hrga 46500 rb",balinese sambal matah with rice,2,46500,93000
MAU DONKG 1 AJA BANANA ROLL COKLATKEJU HARGA RP 35500,banana roll coklatkeju,1,35500,35500
fyi kak ada zegerin aja? mau 5 rp. 5000,zegerin aja,5,5000,25000
loh 4 porsi puding tradisional thai berapa kak?,puding tradisional thai,4,30000,120000
kak ada sop ampela? mau 5 porsi rp 4500,sop ampela,5,4500,22500
nih halo kak mau beli 3 porsi crispy oreo bun harganya rp22500,crispy oreo bun,3,22500,67500
pesan beras ketan hitam tumbuk mentah sebanyak 4 harga rp31000,beras ketan hitam tumbuk mentah,4,31000,124000
Beli 1 biji pentol ranjau harganya 12500,pentol ranjau,1,12500,12500
Nih beli 3 porxi pancake durian cokelat 16k,pancake durian cokelat,3,16000,48000
Nitip daun leunca ya 2 aja harga 11000 rb,daun leunca,2,11000,22000
Kak sepuluh es teh manis small hrganya 31500 ya,es teh manis small,10,31500,315000
NIH BISA GAK ORDER 5 KLEPON COCONUT CRUNCH HARGA HARGA 24K,klepon coconut crunch,5,24500,122500
ORDER 10 BUTTER SUGAR TOTAL 410 RIBU,butter sugar,10,41000,410000
Btw kak ada bella cullen? mau 4 porsi rp 43500,bella cullen,4,43500,174000
"MAU 10 MIX MADELLIN, RP. 34000 KAN?",mix madellin,10,34000,340000
TOLONG PESANIN LIMA TAWAR KUPAS DONG 25K,tawar kupas,5,25000,125000
BISA GAK ORDER 1 BIJI MIGHTY MILO HARGA HARGA 8K,mighty milo,1,8000,8000
Bisa gak order 3 dideh darah sapi harga rp. 39000,dideh darah sapi,3,39000,117000
Tiga porsi capcay sosis aja kak hrg 43k,capcay sosis,3,43000,129000
BTW ORDER EXTRA CHEESY CHICKEN CUTLET CURRY 2 PORSI PCS HARGA RP 33000,extra cheesy chicken cutlet curry,2,33000,66000
sih kak ada corndog mozarella coklat oreo? mau lima porsi rp. 11500,corndog mozarella coklat oreo,5,11500,57500
ORDER 10 PORSI NASI GORENG MAWUT TOTAL 170000 RB,nasi goreng mawut,10,17000,170000
bisa gak order 2 porsi seblak bakso  sosis harga harganya 45000,seblak bakso  sosis,2,45000,90000
"fyi gurami cabe hijau  ekor lima ya kak, harga 18000",gurami cabe hijau  ekor,5,18000,90000
BELI TIGA PORCY EKADO UDON RP. 34500,ekado udon,3,34500,103500
Tolong pesanin 1 porsi pizza special day dng 34k,pizza special day,1,34000,34000
WKWK HALO KAK MAU BELI 2 DARK CHOCOLATE MINT HRGANYA HARGANYA 20000,dark chocolate mint,2,20000,40000
bisa gak order 10 porsi triple burger with cheese hrga 35 rib,triple burger with cheese,10,35500,355000
nih order spikoe kuno lusi 5 pcs harga harga 42k,spikoe kuno lusi,5,42000,210000
2 poligami aja kak harga 35k,poligami,2,35500,71000
WKWK PESAN BABY CRAB BALADO EMPAT 4 RIBU,baby crab balado,4,4500,18000
BELI CHIKEN SAMBAL MATAH WITH RICE DULU 5 PORSI 10500,chiken sambal matah with rice,5,10500,52500
WKWK KAK MINTA 10 SIOMAY  SAMBAL YA HARGA RP10500,siomay  sambal,10,10500,105000
kak minta tiga porcy martabak tipker nutella keju ya harga harganya 36500,martabak tipker nutella keju,3,36500,109500
ORDER 3 MIE PETIR JAMUR TOTAL 76 RIBU,mie petir jamur,3,25500,76500
beli sepuluh special meji gunkan mentai hrg 25k,special meji gunkan mentai,10,25500,255000
bisa gak order 3 lapis pisang harga 7k,lapis pisang,3,7000,21000
Loh pesan roti isi tiga porsi 4k,roti isi,3,4500,13500
Order egg pudding satu pcs hrg harganya 40500,egg pudding,1,40500,40500
"Yummy gum seporsi ya kak, harga harganya 11500",yummy gum,1,11500,11500
2 kopi susu caramel aja kak harga rp. 3500,kopi susu caramel,2,3500,7000
Fyi sepuluh kebab berapa kak?,kebab,10,15500,155000
YGY BELI SATU DONG ROTI KESET KOMBINASI 45K,roti keset kombinasi,1,45500,45500
"mau tiga es regalin aja, rp 9500 kan?",es regalin aja,3,9500,28500
KAK ADA UDANG ASAM MANIS? MAU 5 PORCY HARGA 31K,udang asam manis,5,31500,157500
Kak empat teh rp38500 ya,teh,4,38500,154000
Mau dongg tiga tahu seafood harga rp. 37000,tahu seafood,3,37000,111000
dua lumaileunca segar aja kak harga rp 22500,lumaileunca segar,2,22500,45000
ygy beli tiga tteo big 42000 rb,tteo big,3,42000,126000
Pesan milkshake oreo sebanyak 5 hrg rp3500,milkshake oreo,5,3500,17500
"mau 10 porsi spesial tuna, 20500 rb kan?",spesial tuna,10,20500,205000
NIH HALO KAK MAU BELI 10 BUNGKIL BIJI KARET HARGANYA HARGANYA 12000,bungkil biji karet,10,12000,120000
"pesen 4 mochacino panas kak, total harga 102k",mochacino panas,4,25500,102000
KAK ADA JUICE KOPYOR? MAU 2 5000 RB,juice kopyor,2,5000,10000
3 porsi eeg benedict aja kak harga rp. 14000,eeg benedict,3,14000,42000
KAK MINTA LIMA PORSI OTAKOTAK BAKAR YA HARGA RP 17000,otakotak bakar,5,17000,85000
Pesan kue potong cake kemoja 5 8 ribu,kue potong cake kemoja,5,8500,42500
TOLONG PESANIN 2 PORSI WAGYU CHAHAN DONG 37000 RB,wagyu chahan,2,37000,74000
beli claypot tahu seafood m dulu 2 27k,claypot tahu seafood m,2,27000,54000
order sup jagung kepiting 4 porsi pcs harga 4500,sup jagung kepiting,4,4500,18000
TOLONG PESANIN 2 PORSI TAHU  TEMPE  TERONG DONG 41K,tahu  tempe  terong,2,41000,82000
Mau pesen 4 porsi telur burung puyuh segar dong,telur burung puyuh segar,4,38000,152000
Pesan bakso kasar sedang sebanyak lima porsi harga rp 18500,bakso kasar sedang,5,18500,92500
mau pesen seporsi jagung susu keju dong,jagung susu keju,1,46500,46500
Lima porsi stawberry popping boba aja kak harga 49000,stawberry popping boba,5,49000,245000
HEHE PESAN ES NYOKLAT 4 PORSI HRGA 23K,es nyoklat,4,23500,94000
"homemade donut gula 10 porsi ya kak, harga 33k",homemade donut gula,10,33000,330000
Kak minta empat tok stick ya harga rp. 24000,tok stick,4,24000,96000
sepuluh roti cokelat roll berapa kak?,roti cokelat roll,10,49500,495000
"Wkwk mau sepuluh wahaha pork knuckle, rp10500 kan?",wahaha pork knuckle,10,10500,105000
Sih order blackpepper rice bowl 1 porsi pcs hrg harganya 23000,blackpepper rice bowl,1,23000,23000
peesn gurami bakar jumbo sebanyak 3 porsi harga 20000,gurami bakar jumbo,3,20000,60000
BISA GAK ORDER SATU DONG ES SUSU PANDAN L HARGA HARGANYA 27000,es susu pandan l,1,27000,27000
Fyi halo kak mau beli tiga porsi milk bubble brown hrgnya harga 43k,milk bubble brown,3,43000,129000
Kak sepuluh sampler taman rp. 47500 ya,sampler taman,10,47500,475000
Ygy 2 biji galian delima putih aja kak harga 42 ribu,galian delima putih,2,42500,85000
PESAN JUICE MANGGA 1 BIJI RP 26500,juice mangga,1,26500,26500
"HEHE PESEN 3 PORSI AYAM CLBK SAYAP KAK, TOTAL 138000",ayam clbk sayap,3,46000,138000
Order latte hot tiga pcs harga rp. 16000,latte hot,3,16000,48000
Sih kak ada tropical appleberries? mau 4 porsi rp 44500,tropical appleberries,4,44500,178000
Seporcy nasi goreng belacan aja kak hrg 9000,nasi goreng belacan,1,9000,9000
Order 10 porsi hello gorgeous total harga 330k,hello gorgeous,10,33000,330000
NIH TOLONG PESANIN LIMA PORSI BOLA KEPITING DONG 45000 RB,bola kepiting,5,45000,225000
Mau dongg 1 timun serut hrga 32000,timun serut,1,32000,32000
Beli tiga porsi portuguese egg tart 30 ribu,portuguese egg tart,3,30500,91500
MAU PESEN LIMA PORSI ES VANILA LATTE CINCAU DONG,es vanila latte cincau,5,35500,177500
"pukis vanilla lima porsi ya kak, hrga rp 16500",pukis vanilla,5,16500,82500
"Pesen 5 popcorn balado medium kak, total rp85000",popcorn balado medium,5,17000,85000
Nih belli bintang radler can dulu 2 harganya 27500,bintang radler can,2,27500,55000
Mau dongg 2 porxi mendoan harga harga 11k,mendoan,2,11000,22000
loh lima porsi rambutan binjai segar aja kak harga 5k,rambutan binjai segar,5,5000,25000
Order 4 thai tea berry cheese total rp. 64000,thai tea berry cheese,4,16000,64000
lima pokpia kukus berapa kak?,pokpia kukus,5,26500,132500
pesan roti sosis sapi 3 rp 36000,roti sosis sapi,3,36000,108000
halo kak mau bly 2 biji bundlng a harganya harga 48k,bundlng a,2,48000,96000
kak ada frozen kebab? mau 10 harganya 49500,frozen kebab,10,49500,495000
bisa gak order tiga porsi mexico coklat harga harga 31k,mexico coklat,3,31500,94500
ygy kak minta tiga seblak batagor  pop ice ya harga 25k,seblak batagor  pop ice,3,25500,76500
Kak lima porxi two season rp. 20500 ya,two season,5,20500,102500
sih nitip milkshake melon ya tiga porsi aja harga harganya 48000,milkshake melon,3,48000,144000
KAK MINTA 10 TIRAMISU DESSERT BOX YA HARGA 35500,tiramisu dessert box,10,35500,355000
Sih 1 aja ikan gembung panggang aja kak harga 11500,ikan gembung panggang,1,11500,11500
mau pesen seporsi ayam kremes personal dong,ayam kremes personal,1,37000,37000
"nih mau 2 red velvet h, hrg 8k kan?",red velvet h,2,8000,16000
"mau 1 biji pancong milk cheese, harganya 27500 kan?",pancong milk cheese,1,27500,27500
HALO KAK MAU BELLI 1 PORSI BANTAL HARGANYA 26 RIB,bantal,1,26000,26000
pesen chicago cheese burger 5 rp 16500,chicago cheese burger,5,16500,82500
5 TOGE KACANG TUNGGAK BERAPA KAK?,toge kacang tunggak,5,13000,65000
beli pandan jade slice dulu 1 biji rp 12000,pandan jade slice,1,12000,12000
"MAU 5 PORSI CAFE LATTE HOT, RP5000 KAN?",cafe latte hot,5,5000,25000
HALO KAK MAU BELI 3 PANCONG KEJU SUSU L HARGANYA 42500 RB,pancong keju susu l,3,42500,127500
belli satu dong noona chiken wrap spicy 41500 rb,noona chiken wrap spicy,1,41500,41500
fyi bisa gak order 3 porsi oreo coffee harga rp8500,oreo coffee,3,8500,25500
"ROTI SARIKAYA LIMA PORSI YA KAK, HARGA 8500",roti sarikaya,5,8500,42500
"loh mau tiga porsi ayam geprek originalpotong, rp26500 kan?",ayam geprek originalpotong,3,26500,79500
nitip keripik singkong asin ya 3 porsi aja harga rp. 33500,keripik singkong asin,3,33500,100500
"Pesen dua porsi jus timun segar kak, total hrganya 80000",jus timun segar,2,40000,80000
KAK EMPAT MIE INDOMIE AYAM PANGGANG JUMBO RP. 29500 YA,mie indomie ayam panggang jumbo,4,29500,118000
halo kak mau beli tiga siomay gurilem kemasan harganya 27k,siomay gurilem kemasan,3,27000,81000
NITIP OTAK OTAK CRISPY YA 3 AJA HARGA RP 38000,otak otak crispy,3,38000,114000
YGY MAU DONKG 10 SAPI DALEMAN SEGAR HARGA 30000 RB,sapi daleman segar,10,30000,300000
BELI NASI TIMBEL TELOR TAHU TEMPE DULU 1 PORSI HARGANYA 40000,nasi timbel telor tahu tempe,1,40000,40000
"Mau 10 porsi nasi capcay, rp40000 kan?",nasi capcay,10,40000,400000
"Pesen lima porxi biasa full keju kak, total 250 rib",biasa full keju,5,50000,250000
fyi order ice milky brown sugar empat pcs harga harganya 27000,ice milky brown sugar,4,27000,108000
Bisa gak order satu dong cappucino large harga rp. 48500,cappucino large,1,48500,48500
BELI 4 PORCY CHICKEN GYOZA PIZZA HARGANYA 46500,chicken gyoza pizza,4,46500,186000
Nitip es choco milo m ya 10 aja harga rp. 35000,es choco milo m,10,35000,350000
Mau pesen 10 pentol ranjau dong,pentol ranjau,10,13500,135000
pesan red lemonade 4 rp 47000,red lemonade,4,47000,188000
Sih order lima chicken teriyaki set total rp 125000,chicken teriyaki set,5,25000,125000
"martabak coklat keju tebal wisman lima porxi ya kak, harga 41 ribu",martabak coklat keju tebal wisman,5,41000,205000
Bisa gak order 10 capcay spesial harga rp22000,capcay spesial,10,22000,220000
NITIP POP ICE COKLAT YA LIMA AJA HARGA 38 RIBU,pop ice coklat,5,38500,192500
nitip es orange booster ya lima aja harga 33000 rb,es orange booster,5,33000,165000
Beli nasi campur ayam crispy dulu 1 porsi rp 10500,nasi campur ayam crispy,1,10500,10500
bisa gak order 4 roti gulung nanas hrga 7000,roti gulung nanas,4,7000,28000
peesn sambal merah sebanyak lima porsi harga harga 37k,sambal merah,5,37000,185000
Hehe bisa gak order lima roti bun harga rp29000,roti bun,5,29000,145000
kak ada caramel coffee frappe? mau 4 rp 17000,caramel coffee frappe,4,17000,68000
hehe pesan crunchy coffee made with kitkat dua 5k,crunchy coffee made with kitkat,2,5500,11000
NIH PESAN KERANG DARA SAUS PADANG 5 10 RBU,kerang dara saus padang,5,10500,52500
tolong pesanin 4 oseng cumi asin kecombrang dong 38500 rb,oseng cumi asin kecombrang,4,38500,154000
Sih halo kak mau beli sepuluh tahu ayam hrgnya 46k,tahu ayam,10,46000,460000
Ygy mau dongg satu dong nasi bungkus  babat harga 36 ribu,nasi bungkus  babat,1,36000,36000
mau pesen 3 soes fla dng,soes fla,3,4500,13500
NIH PSEAN RAMERAME MANDHI MIX DUA 43500 RB,ramerame mandhi mix,2,43500,87000
Wkwk mau donkg 1 porsi es drink beng beng harga 42000 rb,es drink beng beng,1,42000,42000
FYI MAU DONGG 1 ROTI KESET COKLAT HARGA 46K,roti keset coklat,1,46500,46500
ygy tolong pesanin 1 biji chicken wings nyayap bulgogi boom dong 25500 rb,chicken wings nyayap bulgogi boom,1,25500,25500
"Loh white koffie seporsi ya kak, harga rp. 43500",white koffie,1,43500,43500
PESAN ROTI COKLAT SEBANYAK 2 HARGA RP. 8000,roti coklat,2,8000,16000
mau pesen 3 juice jeruk wortel dong,juice jeruk wortel,3,17500,52500
loh kak minta lima tahu tauco ya harga 49 ribu,tahu tauco,5,49500,247500
"Spicy tuna aqua 10 porxi ya kak, harga harga 6k",spicy tuna aqua,10,6500,65000
Pesen es nutrisari jeruk peras 4 rp3000,es nutrisari jeruk peras,4,3000,12000
tolong peesnin 10 porsi kulit ayam kriuk dong 34 ribu,kulit ayam kriuk,10,34000,340000
mau dngg 5 porsi double cheese harga rp27000,double cheese,5,27000,135000
MAU PESEN TIGA BLUEBERRY BAGEL DONK,blueberry bagel,3,9500,28500
mau pesen 2 porsi katak dong,katak,2,10000,20000
FYI HALO KAK MAU BELI EMPAT BUTTERSCOTCH COFFEE LATTE HRGANYA 34K,butterscotch coffee latte,4,34500,138000
"Nih mau 2 biji cilor tusuk, 2000 kan?",cilor tusuk,2,2000,4000
KAK 2 DESSERT OPERA 37 RIBU YA,dessert opera,2,37000,74000
"MAU SEPORSI NASI PECEL AYAM KRISPY, 45000 KAN?",nasi pecel ayam krispy,1,45000,45000
beli bruschetta al pomodoro dulu empat 21k,bruschetta al pomodoro,4,21500,86000
Pesan loyang sedang mix sebanyak 10 porsi harga harganya 17500,loyang sedang mix,10,17500,175000
BELI JEGAR JELLY CHRYSANTHEMUM DULU 2 28000,jegar jelly chrysanthemum,2,28000,56000
"PESEN SATU DNG MILK BROWN SUGAR KAK, TOTAL 44000 RB",milk brown sugar,1,44000,44000
Sepuluh cupcakes animal set aja kak harga 7500,cupcakes animal set,10,7500,75000
ygy beli 5 capjay goreng rp. 34000,capjay goreng,5,34000,170000
wkwk order tiga porsi kebab lumer beef slice large total 139k,kebab lumer beef slice large,3,46500,139500
KAK 2 CHOCO OREO CHEESE BUBBLE DRINK HARGANYA 12500 YA,choco oreo cheese bubble drink,2,12500,25000
BELI EMPAT HONEY LEMON COLD 31500 RB,honey lemon cold,4,31500,126000
"ygy beef yamin 2 porcy ya kak, harga rp11000",beef yamin,2,11000,22000
"pesen 4 porsi penne di mare kak, total rp 198000",penne di mare,4,49500,198000
Tolong pesanin satu dong ayam geprek cabe hijaupotong dong rp. 16000,ayam geprek cabe hijaupotong,1,16000,16000
sih order kartu ucapan kokumi 1 pcs harga rp 6000,kartu ucapan kokumi,1,6000,6000
SIH MAU DONGG SEPULUH RHABOKKI ISTIMEWAH MOZARELLA HRGA 33500,rhabokki istimewah mozarella,10,33500,335000
loh mau dongg lima bbq chicken mini harga 43000 rb,bbq chicken mini,5,43000,215000
Tolong pesanin 10 porsi gurami bakar jumbo dong harga 17k,gurami bakar jumbo,10,17500,175000
mau pesen tiga orange blue sea dong,orange blue sea,3,3500,10500
"BTW PESEN 5 PORSI SEBLAK SADIS SOSIS KAK, TOTAL RP. 195000",seblak sadis sosis,5,39000,195000
"MAU LIMA PORSI ICE KACANG, RP. 24500 KAN?",ice kacang,5,24500,122500
halo kak mau beli 10 porsi bakso tumpeng kecil hrganya rp. 24500,bakso tumpeng kecil,10,24500,245000
KAK 1 BIJI SINGKONG LEPAS RP 41000 YA,singkong lepas,1,41000,41000
1 mie ayam  telor aja kak harga rp. 11000,mie ayam  telor,1,11000,11000
Order panas special krispy medium 5 pcs harga 23500 rb,panas special krispy medium,5,23500,117500
"Mau sepuluh sop cindur, harga 13k kan?",sop cindur,10,13000,130000
Peesn large ice strawberry milk sebanyak dua harga 48500,large ice strawberry milk,2,48500,97000
"Mau 1 porsi xavier original cup peachgum, 11k kan?",xavier original cup peachgum,1,11000,11000
