"text";"orders";"orders_str";"num_items";"grand_total"
"tiga raspberry tea 25000";"[{""product"":""raspberry tea"",""quantity"":3,""price"":25000,""total_price"":75000}]";"raspberry tea:3:25000";"1";"75000"
"kak 3 bihun jagung mentah 42000";"[{""product"":""bihun jagung mentah"",""quantity"":3,""price"":42000,""total_price"":126000}]";"bihun jagung mentah:3:42000";"1";"126000"
"kak satu olahan cumi Rp35500";"[{""product"":""olahan cumi"",""quantity"":1,""price"":35500,""total_price"":35500}]";"olahan cumi:1:35500";"1";"35500"
"kak 2 porsi churros topping ice cream Rp23500 + terriyaki furai don 12000";"[{""product"":""churros topping ice cream"",""quantity"":2,""price"":23500,""total_price"":47000},{""product"":""terriyaki furai don"",""quantity"":1,""price"":12000,""total_price"":12000}]";"churros topping ice cream:2:23500|terriyaki furai don:1:12000";"2";"59000"
"wkwk 2 porsi spunbond belikopi large rp 8500";"[{""product"":""spunbond belikopi large"",""quantity"":2,""price"":8500,""total_price"":17000}]";"spunbond belikopi large:2:8500";"1";"17000"
"gurame asem manis masakan rp 36500";"[{""product"":""gurame asem manis masakan"",""quantity"":1,""price"":36500,""total_price"":36500}]";"gurame asem manis masakan:1:36500";"1";"36500"
"aykatsu ori 21500";"[{""product"":""aykatsu ori"",""quantity"":1,""price"":21500,""total_price"":21500}]";"aykatsu ori:1:21500";"1";"21500"
"2 cafelatte ice Rp36000 sama 2 cappucino hangat rp 44000";"[{""product"":""cafelatte ice"",""quantity"":2,""price"":36000,""total_price"":72000},{""product"":""cappucino hangat"",""quantity"":2,""price"":44000,""total_price"":88000}]";"cafelatte ice:2:36000|cappucino hangat:2:44000";"2";"160000"
"wkwk 5 pudding oreo Rp47500";"[{""product"":""pudding oreo"",""quantity"":5,""price"":47500,""total_price"":237500}]";"pudding oreo:5:47500";"1";"237500"
"kak 1 roti abon rp 16000 dan tahu susu ori siap masak 39500";"[{""product"":""roti abon"",""quantity"":1,""price"":16000,""total_price"":16000},{""product"":""tahu susu ori siap masak"",""quantity"":1,""price"":39500,""total_price"":39500}]";"roti abon:1:16000|tahu susu ori siap masak:1:39500";"2";"55500"
"kak 1 bolu gulung blueberry keju r 23000";"[{""product"":""bolu gulung blueberry keju r"",""quantity"":1,""price"":23000,""total_price"":23000}]";"bolu gulung blueberry keju r:1:23000";"1";"23000"
"kak 1 soes kering original rp 48000";"[{""product"":""soes kering original"",""quantity"":1,""price"":48000,""total_price"":48000}]";"soes kering original:1:48000";"1";"48000"
"kak 3 sec 8000";"[{""product"":""sec"",""quantity"":3,""price"":8000,""total_price"":24000}]";"sec:3:8000";"1";"24000"
"kak seporsi pisang goreng rp 5000";"[{""product"":""pisang goreng"",""quantity"":1,""price"":5000,""total_price"":5000}]";"pisang goreng:1:5000";"1";"5000"
"2 peanut butter croffle 17500";"[{""product"":""peanut butter croffle"",""quantity"":2,""price"":17500,""total_price"":35000}]";"peanut butter croffle:2:17500";"1";"35000"
"wkwk premium tiramisu 17500";"[{""product"":""premium tiramisu"",""quantity"":1,""price"":17500,""total_price"":17500}]";"premium tiramisu:1:17500";"1";"17500"
"3 tiamo toast 50000";"[{""product"":""tiamo toast"",""quantity"":3,""price"":50000,""total_price"":150000}]";"tiamo toast:3:50000";"1";"150000"
"3 hotdog single Rp12500";"[{""product"":""hotdog single"",""quantity"":3,""price"":12500,""total_price"":37500}]";"hotdog single:3:12500";"1";"37500"
"kak seporsi salmon mentai rp 48500";"[{""product"":""salmon mentai"",""quantity"":1,""price"":48500,""total_price"":48500}]";"salmon mentai:1:48500";"1";"48500"
"kak 1 frozen chicken skin rp 39000";"[{""product"":""frozen chicken skin"",""quantity"":1,""price"":39000,""total_price"":39000}]";"frozen chicken skin:1:39000";"1";"39000"
"seporsi bobor 35500 + black coffee nescafe rp 13500";"[{""product"":""bobor"",""quantity"":1,""price"":35500,""total_price"":35500},{""product"":""black coffee nescafe"",""quantity"":1,""price"":13500,""total_price"":13500}]";"bobor:1:35500|black coffee nescafe:1:13500";"2";"49000"
"kak 4 pelepah manuk masakan Rp39000 + seporsi cocoffee aren rp 7000";"[{""product"":""pelepah manuk masakan"",""quantity"":4,""price"":39000,""total_price"":156000},{""product"":""cocoffee aren"",""quantity"":1,""price"":7000,""total_price"":7000}]";"pelepah manuk masakan:4:39000|cocoffee aren:1:7000";"2";"163000"
"wkwk seporsi kebab daging sapi 22000";"[{""product"":""kebab daging sapi"",""quantity"":1,""price"":22000,""total_price"":22000}]";"kebab daging sapi:1:22000";"1";"22000"
"kak 1 linggardjati lemon lime Rp2500";"[{""product"":""linggardjati lemon lime"",""quantity"":1,""price"":2500,""total_price"":2500}]";"linggardjati lemon lime:1:2500";"1";"2500"
"kak 1 burger rp 24000 + 3 thai spicy beancurd  vegan Rp25500 + satu hot thai tea rp 36500";"[{""product"":""burger"",""quantity"":1,""price"":24000,""total_price"":24000},{""product"":""thai spicy beancurd  vegan"",""quantity"":3,""price"":25500,""total_price"":76500},{""product"":""hot thai tea"",""quantity"":1,""price"":36500,""total_price"":36500}]";"burger:1:24000|thai spicy beancurd  vegan:3:25500|hot thai tea:1:36500";"3";"137000"
"wkwk seporsi udang gala panggang keju m 8500";"[{""product"":""udang gala panggang keju m"",""quantity"":1,""price"":8500,""total_price"":8500}]";"udang gala panggang keju m:1:8500";"1";"8500"
"kak seporsi two island sauvignon blanc rp 15000 sama 2 double cheese bombolone Rp45500";"[{""product"":""two island sauvignon blanc"",""quantity"":1,""price"":15000,""total_price"":15000},{""product"":""double cheese bombolone"",""quantity"":2,""price"":45500,""total_price"":91000}]";"two island sauvignon blanc:1:15000|double cheese bombolone:2:45500";"2";"106000"
"black kebab jumbo 19500";"[{""product"":""black kebab jumbo"",""quantity"":1,""price"":19500,""total_price"":19500}]";"black kebab jumbo:1:19500";"1";"19500"
"2 porsi kecipir biji 47000 + 1 ena chike cheese rp 9000";"[{""product"":""kecipir biji"",""quantity"":2,""price"":47000,""total_price"":94000},{""product"":""ena chike cheese"",""quantity"":1,""price"":9000,""total_price"":9000}]";"kecipir biji:2:47000|ena chike cheese:1:9000";"2";"103000"
"1 nasi ikan tuna sambal matah 29500";"[{""product"":""nasi ikan tuna sambal matah"",""quantity"":1,""price"":29500,""total_price"":29500}]";"nasi ikan tuna sambal matah:1:29500";"1";"29500"
"kak 3 beef teriyaki rice bowl 45500";"[{""product"":""beef teriyaki rice bowl"",""quantity"":3,""price"":45500,""total_price"":136500}]";"beef teriyaki rice bowl:3:45500";"1";"136500"
"tiga vegan beef steak rp 41500";"[{""product"":""vegan beef steak"",""quantity"":3,""price"":41500,""total_price"":124500}]";"vegan beef steak:3:41500";"1";"124500"
"es teh manis  tawar 28000 sama 3 pisang kidang segar rp 19000";"[{""product"":""es teh manis  tawar"",""quantity"":1,""price"":28000,""total_price"":28000},{""product"":""pisang kidang segar"",""quantity"":3,""price"":19000,""total_price"":57000}]";"es teh manis  tawar:1:28000|pisang kidang segar:3:19000";"2";"85000"
"seblak komplit  es teh 24000 sama 1 ice sakura latte rp 16000";"[{""product"":""seblak komplit  es teh"",""quantity"":1,""price"":24000,""total_price"":24000},{""product"":""ice sakura latte"",""quantity"":1,""price"":16000,""total_price"":16000}]";"seblak komplit  es teh:1:24000|ice sakura latte:1:16000";"2";"40000"
"kak 5 bsb vanila rp 24000";"[{""product"":""bsb vanila"",""quantity"":5,""price"":24000,""total_price"":120000}]";"bsb vanila:5:24000";"1";"120000"
"wkwk 4 teriyaki blackpaper 18500 sama mie kuning jawagorengkuah rp 4000";"[{""product"":""teriyaki blackpaper"",""quantity"":4,""price"":18500,""total_price"":74000},{""product"":""mie kuning jawagorengkuah"",""quantity"":1,""price"":4000,""total_price"":4000}]";"teriyaki blackpaper:4:18500|mie kuning jawagorengkuah:1:4000";"2";"78000"
"kak 2 porsi martabak keju coklat wijen susu Rp9000 sama seporsi robak coklat 14000";"[{""product"":""martabak keju coklat wijen susu"",""quantity"":2,""price"":9000,""total_price"":18000},{""product"":""robak coklat"",""quantity"":1,""price"":14000,""total_price"":14000}]";"martabak keju coklat wijen susu:2:9000|robak coklat:1:14000";"2";"32000"
"2 porsi thai tea ice rp 49000";"[{""product"":""thai tea ice"",""quantity"":2,""price"":49000,""total_price"":98000}]";"thai tea ice:2:49000";"1";"98000"
"wkwk 2 porsi mie kobong ikan suwir rp 9500";"[{""product"":""mie kobong ikan suwir"",""quantity"":2,""price"":9500,""total_price"":19000}]";"mie kobong ikan suwir:2:9500";"1";"19000"
"seporsi pillow roll rp 20500";"[{""product"":""pillow roll"",""quantity"":1,""price"":20500,""total_price"":20500}]";"pillow roll:1:20500";"1";"20500"
"wkwk 2 nila belur cabe ijo rp 41000";"[{""product"":""nila belur cabe ijo"",""quantity"":2,""price"":41000,""total_price"":82000}]";"nila belur cabe ijo:2:41000";"1";"82000"
"kak 1 abundance gift box rp 29500";"[{""product"":""abundance gift box"",""quantity"":1,""price"":29500,""total_price"":29500}]";"abundance gift box:1:29500";"1";"29500"
"kak 1 roti cane susu Rp34500";"[{""product"":""roti cane susu"",""quantity"":1,""price"":34500,""total_price"":34500}]";"roti cane susu:1:34500";"1";"34500"
"2 porsi krupuk telur asin Rp23000 dan tahu 45000";"[{""product"":""krupuk telur asin"",""quantity"":2,""price"":23000,""total_price"":46000},{""product"":""tahu"",""quantity"":1,""price"":45000,""total_price"":45000}]";"krupuk telur asin:2:23000|tahu:1:45000";"2";"91000"
"kak 5 javanese Rp31000";"[{""product"":""javanese"",""quantity"":5,""price"":31000,""total_price"":155000}]";"javanese:5:31000";"1";"155000"
"kak 1 oguri wagyu steak sirloin rp 11000";"[{""product"":""oguri wagyu steak sirloin"",""quantity"":1,""price"":11000,""total_price"":11000}]";"oguri wagyu steak sirloin:1:11000";"1";"11000"
"seporsi choco chip s 35000 sama seporsi putri malu segar Rp17500";"[{""product"":""choco chip s"",""quantity"":1,""price"":35000,""total_price"":35000},{""product"":""putri malu segar"",""quantity"":1,""price"":17500,""total_price"":17500}]";"choco chip s:1:35000|putri malu segar:1:17500";"2";"52500"
"kak 5 vanilla gelato Rp41000 sama tiga matcha latte mambo regular 37000";"[{""product"":""vanilla gelato"",""quantity"":5,""price"":41000,""total_price"":205000},{""product"":""matcha latte mambo regular"",""quantity"":3,""price"":37000,""total_price"":111000}]";"vanilla gelato:5:41000|matcha latte mambo regular:3:37000";"2";"316000"
"kak tiga juas buah naga Rp35000";"[{""product"":""juas buah naga"",""quantity"":3,""price"":35000,""total_price"":105000}]";"juas buah naga:3:35000";"1";"105000"
"wkwk 2 cabe bawang putih Rp19000";"[{""product"":""cabe bawang putih"",""quantity"":2,""price"":19000,""total_price"":38000}]";"cabe bawang putih:2:19000";"1";"38000"
"seporsi dimsum keju rp 11500";"[{""product"":""dimsum keju"",""quantity"":1,""price"":11500,""total_price"":11500}]";"dimsum keju:1:11500";"1";"11500"
"wkwk satu mie kuning 5500";"[{""product"":""mie kuning"",""quantity"":1,""price"":5500,""total_price"":5500}]";"mie kuning:1:5500";"1";"5500"
"wkwk azuki 21000 sama dua nugget ayam Rp36000 sama 2 porsi shoyu 40500";"[{""product"":""azuki"",""quantity"":1,""price"":21000,""total_price"":21000},{""product"":""nugget ayam"",""quantity"":2,""price"":36000,""total_price"":72000},{""product"":""shoyu"",""quantity"":2,""price"":40500,""total_price"":81000}]";"azuki:1:21000|nugget ayam:2:36000|shoyu:2:40500";"3";"174000"
"seporsi orange milkut rp 27500";"[{""product"":""orange milkut"",""quantity"":1,""price"":27500,""total_price"":27500}]";"orange milkut:1:27500";"1";"27500"
"seporsi tempe telur asin Rp3500 sama bakso kuah ceker Rp10500 sama 3 ottoke taichan bowl Rp5000";"[{""product"":""tempe telur asin"",""quantity"":1,""price"":3500,""total_price"":3500},{""product"":""bakso kuah ceker"",""quantity"":1,""price"":10500,""total_price"":10500},{""product"":""ottoke taichan bowl"",""quantity"":3,""price"":5000,""total_price"":15000}]";"tempe telur asin:1:3500|bakso kuah ceker:1:10500|ottoke taichan bowl:3:5000";"3";"29000"
"wkwk satu nila belur cabe ijo 18000";"[{""product"":""nila belur cabe ijo"",""quantity"":1,""price"":18000,""total_price"":18000}]";"nila belur cabe ijo:1:18000";"1";"18000"
"kak 1 blackcurrant tea 43500 dan muillfuille coklat nogat 17500";"[{""product"":""blackcurrant tea"",""quantity"":1,""price"":43500,""total_price"":43500},{""product"":""muillfuille coklat nogat"",""quantity"":1,""price"":17500,""total_price"":17500}]";"blackcurrant tea:1:43500|muillfuille coklat nogat:1:17500";"2";"61000"
"kak 2 porsi sei diego burger Rp15500";"[{""product"":""sei diego burger"",""quantity"":2,""price"":15500,""total_price"":31000}]";"sei diego burger:2:15500";"1";"31000"
"wkwk 2 es kopi berry rp 21500 sama churros topping ice cream rp 21500";"[{""product"":""es kopi berry"",""quantity"":2,""price"":21500,""total_price"":43000},{""product"":""churros topping ice cream"",""quantity"":1,""price"":21500,""total_price"":21500}]";"es kopi berry:2:21500|churros topping ice cream:1:21500";"2";"64500"
"gulai kepala kakap Rp45500 + 2 butter bun cheese rp 38000 + dua jambu berry Rp36000";"[{""product"":""gulai kepala kakap"",""quantity"":1,""price"":45500,""total_price"":45500},{""product"":""butter bun cheese"",""quantity"":2,""price"":38000,""total_price"":76000},{""product"":""jambu berry"",""quantity"":2,""price"":36000,""total_price"":72000}]";"gulai kepala kakap:1:45500|butter bun cheese:2:38000|jambu berry:2:36000";"3";"193500"
"3 ayam geprek sambal penyet 29500 + 5 pork petty cheese burger Rp47000";"[{""product"":""ayam geprek sambal penyet"",""quantity"":3,""price"":29500,""total_price"":88500},{""product"":""pork petty cheese burger"",""quantity"":5,""price"":47000,""total_price"":235000}]";"ayam geprek sambal penyet:3:29500|pork petty cheese burger:5:47000";"2";"323500"
"wkwk 2 porsi kerupuk kulit kerbau Rp32500";"[{""product"":""kerupuk kulit kerbau"",""quantity"":2,""price"":32500,""total_price"":65000}]";"kerupuk kulit kerbau:2:32500";"1";"65000"
"3 mie aceh dagingtelur Rp19500";"[{""product"":""mie aceh dagingtelur"",""quantity"":3,""price"":19500,""total_price"":58500}]";"mie aceh dagingtelur:3:19500";"1";"58500"
"wkwk satu nila asam manis 22500";"[{""product"":""nila asam manis"",""quantity"":1,""price"":22500,""total_price"":22500}]";"nila asam manis:1:22500";"1";"22500"
"kak seporsi karage Rp46500";"[{""product"":""karage"",""quantity"":1,""price"":46500,""total_price"":46500}]";"karage:1:46500";"1";"46500"
"fruits chocolate cake rp 33000";"[{""product"":""fruits chocolate cake"",""quantity"":1,""price"":33000,""total_price"":33000}]";"fruits chocolate cake:1:33000";"1";"33000"
"1 sosis twist Rp7500";"[{""product"":""sosis twist"",""quantity"":1,""price"":7500,""total_price"":7500}]";"sosis twist:1:7500";"1";"7500"
"kak seporsi lychee red Rp24000 sama seporsi nasi ikan mas goreng Rp37000";"[{""product"":""lychee red"",""quantity"":1,""price"":24000,""total_price"":24000},{""product"":""nasi ikan mas goreng"",""quantity"":1,""price"":37000,""total_price"":37000}]";"lychee red:1:24000|nasi ikan mas goreng:1:37000";"2";"61000"
"seporsi jus sirsak jumbo Rp14000";"[{""product"":""jus sirsak jumbo"",""quantity"":1,""price"":14000,""total_price"":14000}]";"jus sirsak jumbo:1:14000";"1";"14000"
"kak fish stick rp 19500";"[{""product"":""fish stick"",""quantity"":1,""price"":19500,""total_price"":19500}]";"fish stick:1:19500";"1";"19500"
"tiga chicken shawarma roll Rp16500";"[{""product"":""chicken shawarma roll"",""quantity"":3,""price"":16500,""total_price"":49500}]";"chicken shawarma roll:3:16500";"1";"49500"
"wkwk tempe telur asin rp 5000";"[{""product"":""tempe telur asin"",""quantity"":1,""price"":5000,""total_price"":5000}]";"tempe telur asin:1:5000";"1";"5000"
"satu sosmotang 32500 + 1 chicken wonton ramen Rp5000 + satu ayam geprek mozarella nasi Rp9000";"[{""product"":""sosmotang"",""quantity"":1,""price"":32500,""total_price"":32500},{""product"":""chicken wonton ramen"",""quantity"":1,""price"":5000,""total_price"":5000},{""product"":""ayam geprek mozarella nasi"",""quantity"":1,""price"":9000,""total_price"":9000}]";"sosmotang:1:32500|chicken wonton ramen:1:5000|ayam geprek mozarella nasi:1:9000";"3";"46500"
"kak bluder kopi Rp7000 + 5 diy yogurt rp 37500";"[{""product"":""bluder kopi"",""quantity"":1,""price"":7000,""total_price"":7000},{""product"":""diy yogurt"",""quantity"":5,""price"":37500,""total_price"":187500}]";"bluder kopi:1:7000|diy yogurt:5:37500";"2";"194500"
"wkwk satu taro vocado frappe rp 21000";"[{""product"":""taro vocado frappe"",""quantity"":1,""price"":21000,""total_price"":21000}]";"taro vocado frappe:1:21000";"1";"21000"
"kak 2 porsi bolu gulung tiramisu 8000";"[{""product"":""bolu gulung tiramisu"",""quantity"":2,""price"":8000,""total_price"":16000}]";"bolu gulung tiramisu:2:8000";"1";"16000"
"cake pandan kacang 37000";"[{""product"":""cake pandan kacang"",""quantity"":1,""price"":37000,""total_price"":37000}]";"cake pandan kacang:1:37000";"1";"37000"
"wkwk 1 seblak ceker special rp 20000";"[{""product"":""seblak ceker special"",""quantity"":1,""price"":20000,""total_price"":20000}]";"seblak ceker special:1:20000";"1";"20000"
"4 bubur ketan 29000 dan ikan lele bakargoreng ekor Rp43000";"[{""product"":""bubur ketan"",""quantity"":4,""price"":29000,""total_price"":116000},{""product"":""ikan lele bakargoreng ekor"",""quantity"":1,""price"":43000,""total_price"":43000}]";"bubur ketan:4:29000|ikan lele bakargoreng ekor:1:43000";"2";"159000"
"seporsi makaroni bantet Rp20000";"[{""product"":""makaroni bantet"",""quantity"":1,""price"":20000,""total_price"":20000}]";"makaroni bantet:1:20000";"1";"20000"
"kak satu peanut butter  jelly bomboloni rp 30000 sama kibo mini double choco berry Rp29500";"[{""product"":""peanut butter  jelly bomboloni"",""quantity"":1,""price"":30000,""total_price"":30000},{""product"":""kibo mini double choco berry"",""quantity"":1,""price"":29500,""total_price"":29500}]";"peanut butter  jelly bomboloni:1:30000|kibo mini double choco berry:1:29500";"2";"59500"
"kak 5 ifumie siram spesial Rp45000";"[{""product"":""ifumie siram spesial"",""quantity"":5,""price"":45000,""total_price"":225000}]";"ifumie siram spesial:5:45000";"1";"225000"
"wkwk satu es sugersusu doger Rp19500 sama seblak jeletet endoll 42500";"[{""product"":""es sugersusu doger"",""quantity"":1,""price"":19500,""total_price"":19500},{""product"":""seblak jeletet endoll"",""quantity"":1,""price"":42500,""total_price"":42500}]";"es sugersusu doger:1:19500|seblak jeletet endoll:1:42500";"2";"62000"
"kak 2 mentarang Rp23000";"[{""product"":""mentarang"",""quantity"":2,""price"":23000,""total_price"":46000}]";"mentarang:2:23000";"1";"46000"
"wkwk 3 paris puding coklat 31000";"[{""product"":""paris puding coklat"",""quantity"":3,""price"":31000,""total_price"":93000}]";"paris puding coklat:3:31000";"1";"93000"
"wkwk 3 penfolds koonunga hill c sauvignon rp 44000";"[{""product"":""penfolds koonunga hill c sauvignon"",""quantity"":3,""price"":44000,""total_price"":132000}]";"penfolds koonunga hill c sauvignon:3:44000";"1";"132000"
"satu taiyaki ice cream uji matcha Rp42000";"[{""product"":""taiyaki ice cream uji matcha"",""quantity"":1,""price"":42000,""total_price"":42000}]";"taiyaki ice cream uji matcha:1:42000";"1";"42000"
"4 corndog mozarella coklat kacang Rp46500";"[{""product"":""corndog mozarella coklat kacang"",""quantity"":4,""price"":46500,""total_price"":186000}]";"corndog mozarella coklat kacang:4:46500";"1";"186000"
"kak seporsi ini teh manis rp 28000 sama duo crispy chicken ol Rp31500 sama 4 mango peach jelly float rp 33500";"[{""product"":""ini teh manis"",""quantity"":1,""price"":28000,""total_price"":28000},{""product"":""duo crispy chicken ol"",""quantity"":1,""price"":31500,""total_price"":31500},{""product"":""mango peach jelly float"",""quantity"":4,""price"":33500,""total_price"":134000}]";"ini teh manis:1:28000|duo crispy chicken ol:1:31500|mango peach jelly float:4:33500";"3";"193500"
"5 smoke beef cream cheese bun rp 31000";"[{""product"":""smoke beef cream cheese bun"",""quantity"":5,""price"":31000,""total_price"":155000}]";"smoke beef cream cheese bun:5:31000";"1";"155000"
"wkwk 2 sunkist wortel mix Rp6000";"[{""product"":""sunkist wortel mix"",""quantity"":2,""price"":6000,""total_price"":12000}]";"sunkist wortel mix:2:6000";"1";"12000"
"kak satu sukun tua segar Rp39500 + seporsi kerang batu  dagok Rp33000 + tiga almond choco cheese Rp36000";"[{""product"":""sukun tua segar"",""quantity"":1,""price"":39500,""total_price"":39500},{""product"":""kerang batu  dagok"",""quantity"":1,""price"":33000,""total_price"":33000},{""product"":""almond choco cheese"",""quantity"":3,""price"":36000,""total_price"":108000}]";"sukun tua segar:1:39500|kerang batu  dagok:1:33000|almond choco cheese:3:36000";"3";"180500"
"3 mi sedaaap goreng Rp38500";"[{""product"":""mi sedaaap goreng"",""quantity"":3,""price"":38500,""total_price"":115500}]";"mi sedaaap goreng:3:38500";"1";"115500"
"kak dua sec rp 26500";"[{""product"":""sec"",""quantity"":2,""price"":26500,""total_price"":53000}]";"sec:2:26500";"1";"53000"
"beef bulgogi Rp8000";"[{""product"":""beef bulgogi"",""quantity"":1,""price"":8000,""total_price"":8000}]";"beef bulgogi:1:8000";"1";"8000"
"kak 3 ayam kebuli perpotong dada 6500 sama satu daging bebek asap Rp23500 sama dua pisang bakar keju susu rp 43500";"[{""product"":""ayam kebuli perpotong dada"",""quantity"":3,""price"":6500,""total_price"":19500},{""product"":""daging bebek asap"",""quantity"":1,""price"":23500,""total_price"":23500},{""product"":""pisang bakar keju susu"",""quantity"":2,""price"":43500,""total_price"":87000}]";"ayam kebuli perpotong dada:3:6500|daging bebek asap:1:23500|pisang bakar keju susu:2:43500";"3";"130000"
"wkwk 2 sop marina bay rp 42000 dan dua tim obat ayam hitam rp 16500 dan dua bebek hoisom  mantou 8000";"[{""product"":""sop marina bay"",""quantity"":2,""price"":42000,""total_price"":84000},{""product"":""tim obat ayam hitam"",""quantity"":2,""price"":16500,""total_price"":33000},{""product"":""bebek hoisom  mantou"",""quantity"":2,""price"":8000,""total_price"":16000}]";"sop marina bay:2:42000|tim obat ayam hitam:2:16500|bebek hoisom  mantou:2:8000";"3";"133000"
"wkwk 1 balinese sambal matah with rice 20500 + satu bihun balap seafood rp 11000";"[{""product"":""balinese sambal matah with rice"",""quantity"":1,""price"":20500,""total_price"":20500},{""product"":""bihun balap seafood"",""quantity"":1,""price"":11000,""total_price"":11000}]";"balinese sambal matah with rice:1:20500|bihun balap seafood:1:11000";"2";"31500"
"wkwk extra boba 41500 + dua es kopi susu taro 39000";"[{""product"":""extra boba"",""quantity"":1,""price"":41500,""total_price"":41500},{""product"":""es kopi susu taro"",""quantity"":2,""price"":39000,""total_price"":78000}]";"extra boba:1:41500|es kopi susu taro:2:39000";"2";"119500"
"kak dua kahlua jelly rp 20000";"[{""product"":""kahlua jelly"",""quantity"":2,""price"":20000,""total_price"":40000}]";"kahlua jelly:2:20000";"1";"40000"
"kak 5 mochi choux sakura cream Rp42500";"[{""product"":""mochi choux sakura cream"",""quantity"":5,""price"":42500,""total_price"":212500}]";"mochi choux sakura cream:5:42500";"1";"212500"
"lontong 32500";"[{""product"":""lontong"",""quantity"":1,""price"":32500,""total_price"":32500}]";"lontong:1:32500";"1";"32500"
"wkwk 5 leci bahagia rp 3000";"[{""product"":""leci bahagia"",""quantity"":5,""price"":3000,""total_price"":15000}]";"leci bahagia:5:3000";"1";"15000"
"kak 4 biscoff nougat 20000";"[{""product"":""biscoff nougat"",""quantity"":4,""price"":20000,""total_price"":80000}]";"biscoff nougat:4:20000";"1";"80000"
"kak 2 porsi frozen pentol goreng rp 50000";"[{""product"":""frozen pentol goreng"",""quantity"":2,""price"":50000,""total_price"":100000}]";"frozen pentol goreng:2:50000";"1";"100000"
"wkwk satu chicken cutlet 4000 + seporsi beef sausage mozarella Rp10000";"[{""product"":""chicken cutlet"",""quantity"":1,""price"":4000,""total_price"":4000},{""product"":""beef sausage mozarella"",""quantity"":1,""price"":10000,""total_price"":10000}]";"chicken cutlet:1:4000|beef sausage mozarella:1:10000";"2";"14000"
"wkwk gyoza ramen rp 35500";"[{""product"":""gyoza ramen"",""quantity"":1,""price"":35500,""total_price"":35500}]";"gyoza ramen:1:35500";"1";"35500"
"5 skippypeanut butter Rp49500";"[{""product"":""skippypeanut butter"",""quantity"":5,""price"":49500,""total_price"":247500}]";"skippypeanut butter:5:49500";"1";"247500"
"wkwk 5 cumi ekstra pedas rp 7500 + 2 iced leci tea rp 18500 + satu pancong polos rp 25500";"[{""product"":""cumi ekstra pedas"",""quantity"":5,""price"":7500,""total_price"":37500},{""product"":""iced leci tea"",""quantity"":2,""price"":18500,""total_price"":37000},{""product"":""pancong polos"",""quantity"":1,""price"":25500,""total_price"":25500}]";"cumi ekstra pedas:5:7500|iced leci tea:2:18500|pancong polos:1:25500";"3";"100000"
"kak nasi lodeh pindang 32000";"[{""product"":""nasi lodeh pindang"",""quantity"":1,""price"":32000,""total_price"":32000}]";"nasi lodeh pindang:1:32000";"1";"32000"
"wkwk 2 porsi ice milosaurus rp 31500";"[{""product"":""ice milosaurus"",""quantity"":2,""price"":31500,""total_price"":63000}]";"ice milosaurus:2:31500";"1";"63000"
